TiplocCode,StationName,Latitude,Longitude
BEREALS,Bere Alston Rail Station,50.48559189920918,-4.200354367240623
BOWLING,Bowling Rail Station,55.93107792785223,-4.493841386614014
STBDXVR,St Budeaux Victoria Road Rail Station,50.402008942071994,-4.187403088789789
STBDXFR,St Budeaux Ferry Road Rail Station,50.401390458899215,-4.1868117095742
PMBRYBP,Pembrey & Burry Port Rail Station,51.68352584562423,-4.247841017401268
KEYHAM,Keyham Rail Station,50.389878155415964,-4.179599085446833
BEREFRS,Bere Ferrers Rail Station,50.45127520542808,-4.181434120362722
DOCKYDP,Dockyard (Plymouth) Rail Station,50.38216733506532,-4.175897599738174
DEVNPRT,Devonport Rail Station,50.378531641153884,-4.170709755364976
KLPTRCK,Kilpatrick Rail Station,55.92469991489038,-4.453411820230765
PSLYSTJ,Paisley St James Rail Station,55.85211627944281,-4.442442807026628
PLYMTH,Plymouth Rail Station,50.3778255917195,-4.14332035486586
NEILSTN,Neilston Rail Station,55.78303622414536,-4.426952117312846
PSLYCAN,Paisley Canal Rail Station,55.84007558029647,-4.424117247631276
PSLYGST,Paisley Gilmour Street Rail Station,55.84734809320123,-4.424506242658734
DALMUIR,Dalmuir Rail Station,55.911927780682596,-4.426680756820371
CRICCTH,Criccieth Rail Station,52.91840885636538,-4.23751180131961
SINGER,Singer Rail Station,55.907670169586964,-4.4054859176326255
CLYBANK,Clydebank Rail Station,55.900689656617196,-4.404413736285151
BRHD,Barrhead Rail Station,55.80375150633965,-4.397283131769998
HWKHEAD,Hawkhead Rail Station,55.84218888232939,-4.398850725909236
LLNLLI,Llanelli Rail Station,51.673864982483636,-4.161303375649388
YOKER,Yoker Rail Station,55.89258501814016,-4.386286505281957
DRUMRY,Drumry Rail Station,55.90459042238282,-4.385472111857982
HLNGTNW,Hillington West Rail Station,55.85601969617318,-4.371579876030396
BEAULY,Beauly Rail Station,57.478281164581716,-4.469865635410027
CROKSTN,Crookston Rail Station,55.842311542552544,-4.364674835356269
GSCD,Garscadden Rail Station,55.88769313454036,-4.365004374815975
NITSH,Nitshill Rail Station,55.811933693705015,-4.359958540877516
DRMCHPL,Drumchapel Rail Station,55.904810535134814,-4.362878696728131
LFPW,Llanfairpwll Rail Station,53.220943425311006,-4.20921522037407
HLNGTNE,Hillington East Rail Station,55.854181023242184,-4.355010101703679
MUROORD,Muir of Ord Rail Station,57.517846207403494,-4.46023282553445
SCTSTNH,Scotstounhill Rail Station,55.88513924259076,-4.352887655549002
MSSPARK,Mosspark Rail Station,55.84082792963788,-4.348292413972928
PHLD,Priesthill & Darnley Rail Station,55.81217024047219,-4.342894501988317
CDNL,Cardonald Rail Station,55.8525669251592,-4.340692327698132
PATERTN,Patterton Rail Station,55.79060945465019,-4.335298257351683
CKHL,Corkerhill Rail Station,55.83749941171455,-4.334292368796787
CONONBR,Conon Bridge Rail Station,57.56175007971608,-4.440405175612736
WESTRTN,Westerton Rail Station,55.9048056011264,-4.3348799100843785
BSDN,Bearsden Rail Station,55.91712785837148,-4.332019995860379
KENISHD,Kennishead Rail Station,55.81331423986215,-4.325246025661483
JORDANH,Jordanhill Rail Station,55.882704986091795,-4.324917729741752
ANSL,Anniesland Rail Station,55.88934879502829,-4.321956697888183
BYNEA,Bynea Rail Station,51.67203001058238,-4.0988806240337805
ACHILCK,Auchinleck Rail Station,55.47027176310369,-4.295349057292665
HLFT,Hillfoot Rail Station,55.92009100438149,-4.320274022131538
THLB,Thornliebank Rail Station,55.811097992227936,-4.311706989628956
WTCR,Whitecraigs Rail Station,55.79032071229443,-4.310156539378031
HYNDLND,Hyndland Rail Station,55.87975257036236,-4.314668293560567
DINGWAL,Dingwall Rail Station,57.59423398066157,-4.422198665198468
MLGV,Milngavie Rail Station,55.94136376511908,-4.31458025233494
BRNSTPL,Barnstaple Rail Station,51.073967818674966,-4.063116746286538
PTCK,Partick Rail Station,55.86988651456895,-4.308806172084652
DAWSHLM,Kelvindale Rail Station,55.89355434336712,-4.309572447798074
PLKSHWW,Pollokshaws West Rail Station,55.82382527401493,-4.301605440829912
DUMBRCK,Dumbreck Rail Station,55.8446474071913,-4.301238902416734
MRYHILL,Maryhill Rail Station,55.89762926359727,-4.300744945942979
TONFNAU,Tonfanau Rail Station,52.61354023777535,-4.123697818041938
GIFNOCK,Giffnock Rail Station,55.80398839492624,-4.293014070829949
LLGNNCH,Llangennech Rail Station,51.691134466707595,-4.078929276146571
WMWD,Williamwood Rail Station,55.793684625896105,-4.290334374796451
SHWLNDS,Shawlands Rail Station,55.829211122697544,-4.292342958645289
PRTHMDG,Porthmadog Rail Station,52.93091544885115,-4.134446221554419
MAXWLPK,Maxwell Park Rail Station,55.83772745458924,-4.288691731348865
SUMRSTN,Summerston Rail Station,55.89883459016672,-4.291538382056194
PLKSHWE,Pollokshaws East Rail Station,55.824639220825524,-4.2868850158892595
CRSMYLF,Crossmyloof Rail Station,55.83394414503852,-4.284317264966167
LNDW,Llandanwg Rail Station,52.83616014976793,-4.1238565825047875
PRTHHBR,Porthmadog Harbour Ffestiniog Railway Station,52.92403934237919,-4.126818064543933
EXHIBTC,Exhibition Centre (Glasgow) Rail Station,55.86154942145724,-4.283588605651918
LAMBH,Gilshochill Rail Station,55.89733644262802,-4.282684323476436
CLRKSTN,Clarkston Rail Station,55.78934689931091,-4.275643634016223
LNSD,Langside Rail Station,55.82113149611732,-4.277339925682649
BANGOR,Bangor (Gwynedd) Rail Station,53.222280950552175,-4.13587981487656
MUIREND,Muirend Rail Station,55.80945731259704,-4.274391599907281
PLKLHDW,Pollokshields West Rail Station,55.83769795527951,-4.275753274438029
CULRAIN,Culrain Rail Station,57.91951168531446,-4.40427048350084
PSRN,Pensarn (Gwynedd) Rail Station,52.83070456992926,-4.112159601499784
LBDR,Llanbedr Rail Station,52.82084930691847,-4.110197297304352
ANDRSTN,Anderston Rail Station,55.85989548828023,-4.27097891305685
INVRSHN,Invershin Rail Station,57.92486774027691,-4.399477695079217
PLKLHDE,Pollokshields East Rail Station,55.84106558422447,-4.268602706614413
CHRNGXG,Charing Cross (Glasgow) Rail Station,55.864680250661415,-4.26981982359239
CHAPLTN,Chapelton (Devon) Rail Station,51.0165335035758,-4.0247217775917195
HRLC,Harlech Rail Station,52.86132693795849,-4.109190365231335
QUNPARK,Queens Park (Glasgow) Rail Station,55.83530280638902,-4.266749828507948
DYFRYNA,Dyffryn Ardudwy Rail Station,52.78884976666628,-4.104643527115353
BUSBY,Busby Rail Station,55.78033790823294,-4.2622006183177445
TYWYN,Tywyn Rail Station,52.585574429691526,-4.093559057293692
LAIRG,Lairg Rail Station,58.00182793598579,-4.399888673861761
MTFL,Mount Florida Rail Station,55.82655355235353,-4.261131404009671
CCRT,Cathcart Rail Station,55.81766685990525,-4.260535939748143
ABRYSTH,Aberystwyth Rail Station,52.41404328914685,-4.081893410552602
TALB,Talybont Rail Station,52.772628475557305,-4.096596294881912
GLGCLL,Glasgow Central Low Level Rail Station,55.85867841186234,-4.258491569469098
CROSSHL,Crosshill Rail Station,55.83328367644064,-4.256811151393878
PNTADLS,Pontarddulais Rail Station,51.71761914273072,-4.045543246950695
GLGC,Glasgow Central Rail Station,55.85975450705034,-4.257643159502638
POSILPK,Possilpark & Parkhouse Rail Station,55.89014307999918,-4.258512538541916
THAL,Thorntonhall Rail Station,55.768677069972306,-4.251162029281721
LYNGRIL,Llwyngwril Rail Station,52.666779824252814,-4.087678844966661
GLGQHL,Glasgow Queen Street Rail Station,55.86218667327011,-4.251455737376066
ARGYLST,Argyle Street Rail Station,55.857302458083865,-4.250693754710322
OKHMPTN,Okehampton Rail Station,50.73237872221686,-3.9962147902186054
GOWERTN,Gowerton Rail Station,51.648723779147325,-4.035934442762303
GLGQLL,Glasgow Queen Street Low Level Rail Station,55.86234521913487,-4.250649868450319
KGPK,Kings Park Rail Station,55.81954158832645,-4.246516816905291
ASFIELD,Ashfield Rail Station,55.88892033353626,-4.2492139861857305
LNAB,Llanaber Rail Station,52.74150135946635,-4.077175624634962
GLGHST,High Street (Glasgow) Rail Station,55.859562623792925,-4.240117831669798
MINFORD,Minffordd Rail Station,52.9261301189242,-4.084965329662291
MINFFR,Minffordd Ffestiniog Railway Station,52.92587366520811,-4.084209121493066
ARDGAY,Ardgay Rail Station,57.88145104338288,-4.36208906744118
TYGWYN,Tygwyn Rail Station,52.89378354931478,-4.078654592849027
CFFT,Croftfoot Rail Station,55.81825493105932,-4.2283245148170705
SPRNGBN,Springburn Rail Station,55.88193562612861,-4.230534134496271
ABDVY,Aberdovey Rail Station,52.543954946404654,-4.05706695610148
BRIDGTN,Bridgeton Rail Station,55.84896111731027,-4.226056150493903
HARMYRS,Hairmyres Rail Station,55.761964059190696,-4.2200106972777505
BLGRVE,Bellgrove Rail Station,55.856702741148545,-4.2243738046798756
BORTH,Borth Rail Station,52.49102534175642,-4.050176079430687
UMBRLGH,Umberleigh Rail Station,50.99674644245954,-3.982886821362121
BSHB,Bishopbriggs Rail Station,55.90387661876837,-4.2249146211218225
TLSRNAU,Talsarnau Rail Station,52.90430646614551,-4.068154532413452
BNHL,Barnhill Rail Station,55.87748832875942,-4.223004748717331
BRMOUTH,Barmouth Rail Station,52.722888922531716,-4.056595637688965
DLMRNOK,Dalmarnock Rail Station,55.8420837801452,-4.217708469621165
PRHN,Penrhyndeudraeth Rail Station,52.92882417486485,-4.064562384080644
RTHGLEN,Rutherglen Rail Station,55.830590985032494,-4.212103987596402
DUKEST,Duke Street Rail Station,55.858434891006375,-4.213047466379972
FRBN,Fairbourne Rail Station,52.69603992871667,-4.049413264225764
ALXPD,Alexandra Parade Rail Station,55.86316943805487,-4.210647879982353
NWCMNCK,New Cumnock Rail Station,55.402738077814696,-4.184340676146897
LNDC,Llandecwyn Rail Station,52.92068320370115,-4.057034563390913
LLDYBIE,Llandybie Rail Station,51.8210337829211,-4.003647159985109
BRSDE,Burnside (Strathclyde) Rail Station,55.81692480032923,-4.202389249652855
PENHELG,Penhelig Rail Station,52.54568479509689,-4.035025102295354
PNTYFYN,Pantyffynnon Rail Station,51.77887586998537,-3.9974293311756677
AMMANFD,Ammanford Rail Station,51.79597304184261,-3.996734780716443
SAMPCRT,Sampford Courtenay Rail Station,50.770098618672485,-3.9488909446725904
MFAM,Morfa Mawddach Rail Station,52.707126251165825,-4.032169396860105
FFAIRFC,Ffairfach Rail Station,51.87247278023175,-3.9928593021458605
PRTSMTA,Portsmouth Arms Rail Station,50.957000361442255,-3.9505793656750954
EKILBRD,East Kilbride Rail Station,55.76600191725513,-4.180226883554242
LLDEILO,Llandeilo Rail Station,51.88534265608234,-3.9868896968031877
DALWHIN,Dalwhinnie Rail Station,56.93516826777663,-4.246198302658584
CNTY,Carntyne Rail Station,55.85487120739834,-4.17857207479621
CMBSLNG,Cambuslang Rail Station,55.819604590485,-4.173008291107574
KRKH,Kirkhill Rail Station,55.81391197777766,-4.167104541191937
IVYBDGE,Ivybridge Rail Station,50.39341043997928,-3.904204029772134
SHTLSTN,Shettleston Rail Station,55.85353533339647,-4.160043501101175
CARMYLE,Carmyle Rail Station,55.83433530437277,-4.15818006732267
TANY,Tan-y-Bwlch Ffestiniog Railway Station,52.954369142447895,-4.011515242566061
LENZIE,Lenzie Rail Station,55.92131682486636,-4.15389030833259
